word;repetition
government;13
privacy;8
nsa;5
warrantless;5
people;5
data;5
law;5
security;4
US;4
access;4
right;4
report;3
freedom;3
communication;3
collection;3
program;3
conspiracy;3
Snowden;3
company;3
possible uses;3
issue;3
bill;2
EU;2
debate;2
power;2
drone;2
argument;2
digital;2
society;2
constitution;1
amendment;1
nsa document;1
insight;1
public opinion;1
justice;1
medium;1
Eben Moglen;1
David Cunliffe;1
suspicionless;1
court;1
secret;1
welfare;1
president;1
meanigful;1
phone;1
dragnet;1
FISC;1
abuse;1
personal;1
Writer Agaisnt Mass Surveillance;1
citizen;1
online;1
arbitrary;1
effect;1
tecnology;1
ASIO;1
activity;1
superstructure;1
internet;1
national;1
GCHQ;1
judge;1
global principles;1
FISA;1
Kim Dotcom;1
sustain;1
opportunity;1
committee;1
protest;1
large scale;1
computer;1
site;1
Bush;1
Kreissl;1
research;1
user;1
assurance;1
agency;1
violation;1
terms;1
request;1
action;1
intelligence;1
practices;1
privacy surgeon;1
scary prospect;1
Helen Clark;1
Day Against Mass Surveillance;1