word;frequency
know;214
cia;116
call;87
agent;75
find;74
phone;70
see;68
security;62
fbi;59
look;55
office;50
people;48
president;46
name;44
general;42
government;41
intelligence;39
satellite;39
data;33
information;32
cell;31
national;30
agency;27
nsa;27
called;25
house;24
surveillance;23
military;21
secret;20
colonel;20
intel;20
access;19
calls;19
state;19
file;18
hack;17
director;17
satellites;17
classified;16
terrorist;16
arrest;16
trace;16
database;16
list;15
technology;15
hear;14
department;14
computer;14
agencies;14
looks;14
search;14
program;14
files;13
spy;13
interpol;12
private;12
location;12
software;12
signal;12
device;12
spying;11
systems;11
listening;11
tracking;11
terrorists;10
network;10
echelon;9
intercepted;9
process;9
home;9
record;9
calling;9
analysis;9
agents;9
server;9
city;9
defense;8
american;8
investigation;8
warrant;8
intercept;8
monitoring;8
snowden;8
computers;8
pentagon;8
control;8
internet;7
information;7
law;7
hacked;7
phones;7